,year,make,engine_size,auction_odometer_mean,craigslist_odometer_mean,odometer_change,auction_price_mean,craigslist_price_mean,price_change,years_grouped
0,1997,Acura,3.0,134622.4,167500.0,32877.600000000006,1520.0,3625.0,2105.0,1997-1999
1,1997,Bmw,1.9,120821.16666666667,152717.0,31895.83333333333,3425.0,7899.0,4474.0,1997-1999
2,1998,Acura,3.0,92018.66666666667,170000.0,77981.33333333333,2600.0,2500.0,-100.0,1997-1999
5,1999,Acura,3.2,161763.42857142858,295115.0,133351.57142857142,1789.2857142857142,2450.0,660.7142857142858,1997-1999
8,2000,Acura,3.2,159498.56818181818,219500.0,60001.43181818182,1830.6818181818182,2650.0,819.3181818181818,1997-1999
10,2000,Audi,2.8,141211.75,148270.0,7058.25,1887.5,2650.0,762.5,1997-1999
15,2001,Audi,1.8,128266.5,226000.0,97733.5,1937.5,1450.0,-487.5,2000-2002
17,2001,Audi,2.8,122615.78571428571,123648.0,1032.2142857142899,1728.5714285714287,3595.0,1866.4285714285713,2000-2002
23,2002,Acura,3.2,154940.84375,212398.33333333334,57457.48958333334,2421.875,3066.6666666666665,644.7916666666665,2000-2002
25,2002,Audi,2.7,113234.54545454546,150030.0,36795.454545454544,2704.5454545454545,3500.0,795.4545454545455,2000-2002
26,2002,Bmw,2.5,63477.833333333336,87361.0,23883.166666666664,6383.333333333333,11298.333333333334,4915.000000000001,2000-2002
28,2002,Bmw,4.4,132757.04347826086,142000.0,9242.956521739135,3630.4347826086955,3500.0,-130.4347826086955,2000-2002
30,2002,Nissan,2.5,144650.552,155000.0,10349.448000000004,2115.6,3000.0,884.4000000000001,2000-2002
31,2002,Nissan,3.5,144555.73684210525,150825.0,6269.263157894748,2375.0,3425.0,1050.0,2000-2002
33,2003,Acura,3.2,148462.4420289855,176148.76923076922,27686.327201783715,2861.5942028985505,5729.2307692307695,2867.636566332219,2000-2002
34,2003,Acura,3.5,142580.5,210520.0,67939.5,3350.0,4400.0,1050.0,2000-2002
35,2003,Audi,1.8,122289.53846153847,151189.6,28900.061538461538,3070.0,5058.0,1988.0,2000-2002
36,2003,Audi,2.7,100937.0,191500.0,90563.0,3420.0,3275.0,-145.0,2000-2002
43,2003,Nissan,3.5,159299.0625,178800.2,19501.13750000001,2679.1666666666665,2908.8,229.63333333333367,2000-2002
44,2003,Subaru,2.5,157884.66666666666,188430.5,30545.833333333343,1700.0,4405.833333333333,2705.833333333333,2000-2002
48,2004,Acura,3.2,149180.46710526315,188342.25,39161.782894736854,4710.855263157895,4422.0,-288.855263157895,2003-2005
49,2004,Acura,3.5,131178.53846153847,146400.0,15221.461538461532,4107.692307692308,4000.0,-107.69230769230762,2003-2005
50,2004,Audi,1.8,110739.34831460674,131558.0,20818.651685393255,3643.5393258426966,4622.25,978.7106741573034,2003-2005
52,2004,Audi,3.0,104997.86666666667,128189.66666666667,23191.800000000003,3523.3333333333335,5749.333333333333,2225.9999999999995,2003-2005
53,2004,Bmw,2.5,112124.38596491228,133932.5,21808.114035087725,5721.0526315789475,7100.0,1378.9473684210525,2003-2005
54,2004,Bmw,3.0,122633.79674796748,167792.57142857142,45158.774680603936,5550.0,5984.714285714285,434.7142857142853,2003-2005
56,2004,Nissan,1.8,123717.8051948052,150672.0,26954.1948051948,2194.155844155844,3296.25,1102.094155844156,2003-2005
57,2004,Nissan,2.5,143676.56790123458,164757.5,21080.93209876542,2525.3086419753085,2722.75,197.44135802469145,2003-2005
58,2004,Nissan,3.5,130250.34502923976,141257.83333333334,11007.488304093582,3107.748538011696,3672.5,564.7514619883041,2003-2005
61,2004,Volkswagen,1.8,109862.3870967742,136189.6,26327.21290322581,2519.3548387096776,4940.0,2420.6451612903224,2003-2005
62,2004,Volvo,2.5,132487.87037037036,169786.08333333334,37298.21296296298,3325.0,3661.5,336.5,2003-2005
63,2004,Volvo,2.9,126002.22222222222,154250.0,28247.77777777778,2577.777777777778,3650.0,1072.2222222222222,2003-2005
64,2005,Acura,3.2,134613.10659898477,176229.5,41616.39340101523,5828.680203045686,4548.75,-1279.9302030456856,2003-2005
66,2005,Audi,2.0,105186.21951219512,140375.25,35189.03048780488,4823.780487804878,4236.25,-587.5304878048782,2003-2005
67,2005,Audi,3.0,104536.0,166525.0,61989.0,5418.75,4150.0,-1268.75,2003-2005
68,2005,Audi,3.2,115272.6603773585,115390.0,117.33962264150614,5413.207547169812,5766.666666666667,353.45911949685524,2003-2005
69,2005,Bmw,2.5,104444.93103448275,110006.0,5561.068965517246,6882.758620689655,8405.714285714286,1522.9556650246313,2003-2005
71,2005,Bmw,4.4,116802.04838709677,163714.81818181818,46912.769794721404,6254.8387096774195,7580.545454545455,1325.7067448680355,2003-2005
72,2005,Nissan,1.8,127382.32608695653,175000.0,47617.67391304347,2410.3260869565215,2500.0,89.67391304347848,2003-2005
75,2005,Subaru,2.5,128805.86842105263,164448.45,35642.581578947385,4667.80701754386,5298.625,630.8179824561403,2003-2005
76,2005,Volkswagen,1.8,93527.59154929577,106200.0,12672.408450704228,3456.3380281690143,2900.0,-556.3380281690143,2003-2005
78,2005,Volvo,2.4,121014.33333333333,140684.16666666666,19669.83333333333,3334.126984126984,4148.166666666667,814.0396825396829,2003-2005
79,2005,Volvo,2.5,128318.00970873787,146010.85714285713,17692.847434119263,3770.3883495145633,4945.142857142857,1174.7545076282936,2003-2005
80,2006,Audi,1.8,84680.97142857143,144561.0,59880.02857142857,6141.428571428572,5566.0,-575.4285714285716,2003-2005
81,2006,Audi,2.0,108761.84393063583,135465.4,26703.55606936416,5574.277456647399,4889.666666666667,-684.6107899807321,2003-2005
82,2006,Audi,3.2,113262.73913043478,157031.0,43768.260869565216,6864.492753623188,4173.375,-2691.117753623188,2003-2005
83,2006,Bmw,3.0,105569.97959183673,120870.28571428571,15300.30612244898,7867.755102040816,7970.107142857143,102.35204081632673,2003-2005
84,2006,Bmw,4.4,105345.03703703704,153620.0,48274.96296296296,8296.296296296296,5399.0,-2897.2962962962956,2003-2005
85,2006,Nissan,1.8,115397.32692307692,118398.6,3001.273076923084,3009.6153846153848,3508.8,499.1846153846154,2003-2005
86,2006,Nissan,2.5,128651.97794117648,129192.71428571429,540.7363445378141,3375.857843137255,3973.5,597.6421568627452,2003-2005
87,2006,Nissan,3.5,117976.98511904762,166832.33333333334,48855.348214285725,4039.285714285714,3898.1666666666665,-141.1190476190477,2003-2005
88,2006,Subaru,2.5,111168.11111111111,151346.125,40178.01388888889,5748.484848484848,6161.475,412.9901515151523,2003-2005
90,2006,Volkswagen,1.8,101081.0,114001.0,12920.0,3750.0,2800.0,-950.0,2003-2005
91,2006,Volkswagen,2.0,113761.67171717172,119701.57142857143,5939.8997113997175,3419.4444444444443,4570.0,1150.5555555555557,2003-2005
92,2006,Volkswagen,2.5,107432.52727272727,143969.0,36536.47272727273,3633.6363636363635,2200.0,-1433.6363636363635,2003-2005
93,2006,Volkswagen,3.6,124697.42857142857,157800.0,33102.571428571435,4089.9285714285716,1450.0,-2639.9285714285716,2003-2005
94,2006,Volvo,2.4,107425.30158730158,151889.0,44463.69841269842,4130.952380952381,4495.0,364.04761904761926,2003-2005
95,2006,Volvo,2.5,108108.23595505618,161896.5294117647,53788.29345670852,4503.3707865168535,4638.882352941177,135.51156642432306,2003-2005
96,2007,Audi,2.0,97854.52542372882,137249.44444444444,39394.91902071562,6518.0084745762715,5964.666666666667,-553.3418079096045,2006-2008
97,2007,Audi,3.2,93950.35,151675.0,57724.649999999994,9037.5,6187.25,-2850.25,2006-2008
98,2007,Audi,3.6,98190.7536231884,136333.33333333334,38142.57971014494,13015.217391304348,8800.0,-4215.217391304348,2006-2008
99,2007,Audi,4.2,105930.4074074074,172000.0,66069.5925925926,11714.814814814816,6900.0,-4814.814814814816,2006-2008
100,2007,Bmw,3.0,95224.98091603053,108164.8947368421,12939.913820811576,10911.641221374046,7659.736842105263,-3251.9043792687826,2006-2008
103,2007,Nissan,2.0,106563.32989690722,119697.6,13134.270103092786,4292.783505154639,4249.0,-43.78350515463899,2006-2008
104,2007,Nissan,2.5,118167.81233243967,140666.7857142857,22498.973381846037,5037.533512064343,5047.357142857143,9.823630792800031,2006-2008
106,2007,Subaru,2.5,113410.76712328767,149789.69565217392,36378.928528886245,5280.821917808219,6283.695652173913,1002.873734365694,2006-2008
107,2007,Volkswagen,2.0,104513.7734375,113240.72727272728,8726.95383522728,4913.671875,4877.181818181818,-36.49005681818198,2006-2008
108,2007,Volkswagen,2.5,99278.1,106423.5,7145.399999999994,4197.727272727273,5247.0,1049.272727272727,2006-2008
110,2007,Volvo,2.4,104601.22413793103,140697.0,36095.77586206897,4675.862068965517,4174.75,-501.1120689655172,2006-2008
111,2007,Volvo,2.5,105488.02222222222,141728.6,36240.577777777784,4728.888888888889,3979.0,-749.8888888888887,2006-2008
112,2007,Volvo,3.2,107153.49462365592,137632.5,30479.00537634408,6990.322580645161,5908.0,-1082.322580645161,2006-2008
113,2008,Audi,2.0,86144.11715481171,111135.18181818182,24991.06466337011,9286.401673640168,7798.545454545455,-1487.8562190947132,2006-2008
114,2008,Audi,3.2,88447.71428571429,120197.66666666667,31749.95238095238,11642.34693877551,7347.833333333333,-4294.513605442177,2006-2008
115,2008,Audi,3.6,93014.56,129168.5,36153.94,14843.0,8247.5,-6595.5,2006-2008
116,2008,Audi,4.2,86514.75,126730.66666666667,40215.91666666667,16382.5,9630.0,-6752.5,2006-2008
117,2008,Bmw,3.0,87061.86440677966,137904.66666666666,50842.802259887,13081.525423728814,7433.952380952381,-5647.573042776433,2006-2008
118,2008,Bmw,4.8,86166.7281553398,130564.85714285714,44398.12898751734,16137.378640776698,6285.571428571428,-9851.807212205269,2006-2008
119,2008,Nissan,1.8,98485.41605839416,150251.33333333334,51765.91727493919,4042.700729927007,4048.3333333333335,5.632603406326325,2006-2008
120,2008,Nissan,2.0,100977.02830188679,134059.6,33082.571698113214,4563.16037735849,4250.0,-313.1603773584902,2006-2008
121,2008,Nissan,2.5,98181.4375,132591.88095238095,34410.44345238095,6901.785714285715,5445.5,-1456.2857142857147,2006-2008
122,2008,Nissan,3.5,103273.68539325842,151124.57142857142,47850.886035313,6694.5692883895135,5461.714285714285,-1232.8550026752282,2006-2008
123,2008,Subaru,2.5,99457.91851851852,145446.77358490566,45988.85506638714,6825.185185185185,6597.943396226415,-227.24178895877048,2006-2008
124,2008,Subaru,3.0,110201.75,124704.0,14502.25,9356.25,7738.5,-1617.75,2006-2008
125,2008,Volvo,1.0,92008.16666666667,136563.0,44554.83333333333,6283.333333333333,5999.0,-284.33333333333303,2006-2008
126,2008,Volvo,2.4,120059.66666666667,147500.16666666666,27440.499999999985,5306.666666666667,4874.0,-432.66666666666697,2006-2008
127,2008,Volvo,2.5,96366.77272727272,160000.0,63633.22727272728,5822.727272727273,4350.0,-1472.727272727273,2006-2008
128,2008,Volvo,3.2,95547.37391304348,127325.66666666667,31778.292753623187,9030.869565217392,7187.666666666667,-1843.202898550725,2006-2008
129,2009,Audi,2.0,78336.74885844749,117649.35714285714,39312.60828440965,12145.890410958904,8296.42857142857,-3849.4618395303332,2006-2008
130,2009,Audi,3.0,83531.52631578948,119559.0,36027.47368421052,14590.78947368421,8998.333333333334,-5592.456140350876,2006-2008
131,2009,Audi,3.2,78486.16279069768,129335.66666666667,50849.50387596899,16566.279069767443,8522.5,-8043.779069767443,2006-2008
132,2009,Audi,3.6,81750.24242424243,118356.5,36606.25757575757,17910.60606060606,10997.5,-6913.10606060606,2006-2008
133,2009,Hyundai,3.8,67967.95454545454,143864.0,75896.04545454546,12132.954545454546,5495.0,-6637.954545454546,2006-2008
135,2009,Nissan,1.8,88843.1062992126,144494.875,55651.768700787405,5161.614173228347,5494.875,333.2608267716532,2006-2008
136,2009,Nissan,2.0,99915.55555555556,143312.0,43396.44444444444,4831.944444444444,5495.0,663.0555555555557,2006-2008
137,2009,Nissan,2.5,82120.16666666667,125175.7741935484,43055.60752688172,7871.666666666667,5265.548387096775,-2606.1182795698924,2006-2008
138,2009,Nissan,3.5,93794.43778801843,130755.46153846153,36961.0237504431,9684.562211981567,7178.538461538462,-2506.023750443105,2006-2008
139,2009,Subaru,2.5,92828.40816326531,125801.76190476191,32973.3537414966,8746.258503401361,7257.825396825397,-1488.4331065759643,2006-2008
140,2009,Volkswagen,2.5,62046.47826086957,139000.0,76953.52173913043,7618.478260869565,3995.0,-3623.478260869565,2006-2008
141,2009,Volvo,2.4,88865.05263157895,102344.0,13478.947368421053,6686.8421052631575,7749.5,1062.6578947368425,2006-2008
142,2009,Volvo,2.5,89620.0,89723.0,103.0,7275.0,12495.0,5220.0,2006-2008
143,2009,Volvo,3.2,81613.2972972973,118567.66666666667,36954.36936936938,11479.72972972973,7396.333333333333,-4083.396396396397,2006-2008
144,2010,Audi,2.0,66273.06875,124205.27777777778,57932.209027777775,15474.375,9909.0,-5565.375,2009-2011
145,2010,Audi,3.0,80459.36363636363,87456.59375,6997.230113636368,17736.363636363636,14609.125,-3127.238636363636,2009-2011
146,2010,Audi,3.2,67072.08450704225,133922.0,66849.91549295775,20548.591549295776,9381.5,-11167.091549295776,2009-2011
147,2010,Hyundai,3.8,60746.90909090909,118055.5,57308.59090909091,12229.545454545454,7341.125,-4888.420454545454,2009-2011
148,2010,Nissan,1.6,85176.57142857143,189000.0,103823.42857142857,4885.714285714285,3500.0,-1385.7142857142853,2009-2011
149,2010,Nissan,1.8,83291.84193548387,101000.0,17708.15806451613,5485.967741935484,4100.0,-1385.967741935484,2009-2011
150,2010,Nissan,2.0,74385.78888888888,107279.45454545454,32893.66565656566,6402.5,5871.272727272727,-531.227272727273,2009-2011
151,2010,Nissan,2.5,72317.67741935483,119185.825,46868.14758064516,8880.645161290322,6154.775,-2725.8701612903224,2009-2011
152,2010,Nissan,3.5,73378.01762114538,107859.44444444444,34481.42682329906,11963.656387665198,8385.111111111111,-3578.5452765540867,2009-2011
153,2010,Subaru,2.5,85123.3216374269,133190.67058823528,48067.34895080839,10791.520467836257,7789.2588235294115,-3002.2616443068455,2009-2011
154,2010,Subaru,3.6,80828.09090909091,94222.88888888889,13394.797979797979,15150.0,12971.611111111111,-2178.3888888888887,2009-2011
155,2010,Volkswagen,2.5,66305.74193548386,149875.0,83569.25806451614,7249.193548387097,4837.5,-2411.6935483870966,2009-2011
156,2010,Volvo,2.4,82221.875,106671.5,24449.625,9345.833333333334,6449.5,-2896.333333333334,2009-2011
157,2010,Volvo,3.2,72062.47524752475,120366.34615384616,48303.870906321405,14632.178217821782,10455.692307692309,-4176.485910129473,2009-2011
158,2011,Audi,2.0,53543.32720588235,91054.72131147541,37511.39410559306,18826.102941176472,12834.508196721312,-5991.59474445516,2009-2011
159,2011,Audi,3.0,50714.10526315789,92785.28571428571,42071.18045112782,28151.754385964912,16414.428571428572,-11737.32581453634,2009-2011
160,2011,Audi,3.2,56550.954545454544,115200.0,58649.045454545456,25300.0,11165.0,-14135.0,2009-2011
161,2011,Audi,4.2,55684.346153846156,64750.0,9065.653846153844,34957.692307692305,22590.0,-12367.692307692305,2009-2011
162,2011,Hyundai,2.0,57073.88888888889,123203.14285714286,66129.25396825396,11301.388888888889,8654.857142857143,-2646.5317460317456,2009-2011
163,2011,Hyundai,3.8,55423.859375,112001.33333333333,56577.47395833333,14282.8125,11265.0,-3017.8125,2009-2011
164,2011,Hyundai,4.6,57543.64,79986.46153846153,22442.821538461532,16166.0,13193.384615384615,-2972.6153846153848,2009-2011
165,2011,Nissan,1.8,69207.34308510639,143568.66666666666,74361.32358156027,6169.68085106383,5865.0,-304.68085106383023,2009-2011
166,2011,Nissan,2.0,55346.613333333335,147972.3,92625.68666666665,8048.266666666666,5049.4,-2998.866666666667,2009-2011
167,2011,Nissan,2.5,60938.497747747744,119250.96875,58312.471002252256,9750.43918918919,6559.59375,-3190.84543918919,2009-2011
168,2011,Nissan,3.5,41419.98595317726,107576.125,66156.13904682273,16032.765217391305,8367.25,-7665.515217391305,2009-2011
169,2011,Subaru,2.5,55478.30952380953,126762.67889908257,71284.36937527305,13855.627705627705,8496.963302752294,-5358.664402875411,2009-2011
170,2011,Subaru,3.6,59333.05882352941,125114.26666666666,65781.20784313725,17301.441176470587,10816.6,-6484.841176470587,2009-2011
171,2011,Volkswagen,2.5,51031.28571428572,52000.0,968.7142857142826,8728.57142857143,9850.0,1121.4285714285706,2009-2011
172,2011,Volvo,3.2,62577.39189189189,123677.125,61099.73310810811,16925.0,8866.8125,-8058.1875,2009-2011
173,2012,Audi,2.0,38808.18580060423,88460.07407407407,49651.88827346984,21986.32930513595,15118.666666666666,-6867.6626384692845,2009-2011
174,2012,Audi,3.0,43530.66019417476,111437.78571428571,67907.12552011095,30546.11650485437,17977.964285714286,-12568.152219140084,2009-2011
175,2012,Audi,3.2,40150.27142857143,92183.5,52033.22857142857,29675.714285714286,16465.0,-13210.714285714286,2009-2011
176,2012,Audi,4.2,39166.01136363636,68701.0,29534.98863636364,40986.36363636364,24990.0,-15996.36363636364,2009-2011
177,2012,Hyundai,2.0,34762.586956521736,89847.85714285714,55085.27018633541,13532.608695652174,11114.285714285714,-2418.32298136646,2009-2011
178,2012,Hyundai,3.8,44112.71466666667,95990.1875,51877.47283333333,16765.754666666668,11520.9375,-5244.817166666668,2009-2011
179,2012,Nissan,1.6,53071.32352941176,105083.57142857143,52012.24789915967,7541.503267973856,4973.714285714285,-2567.7889822595707,2009-2011
180,2012,Nissan,1.8,46312.21,88375.14285714286,42062.932857142856,7730.1275,7210.0,-520.1274999999996,2009-2011
181,2012,Nissan,2.0,38453.15789473684,94758.14285714286,56304.984962406015,10026.097368421053,7027.0,-2999.097368421053,2009-2011
182,2012,Nissan,2.5,37797.24375306223,117195.41176470589,79398.16801164366,11985.12530622244,6903.470588235294,-5081.654717987147,2009-2011
183,2012,Nissan,3.5,38103.27758164166,92191.5625,54088.28491835834,16639.189761694615,9798.75,-6840.439761694615,2009-2011
184,2012,Subaru,2.0,36645.398305084746,104623.46666666666,67978.06836158191,14227.550847457627,10097.0,-4130.550847457627,2009-2011
185,2012,Subaru,2.5,51879.15476190476,133638.66666666666,81759.5119047619,15440.952380952382,8814.0,-6626.952380952382,2009-2011
186,2012,Subaru,3.6,41499.64,112894.54545454546,71394.90545454546,20124.0,13033.454545454546,-7090.545454545454,2009-2011
187,2012,Volkswagen,2.0,34172.84375,82787.07692307692,48614.23317307692,13908.59375,12154.615384615385,-1753.9783653846152,2009-2011
188,2012,Volkswagen,2.5,34543.59390862944,108116.72727272728,73573.13336409784,11036.294416243654,7900.818181818182,-3135.4762344254723,2009-2011
189,2012,Volvo,3.2,46364.11956521739,110332.25,63968.13043478261,21320.652173913044,11370.0,-9950.652173913044,2009-2011
190,2013,Audi,2.0,30878.768018018018,79559.30769230769,48680.53967428967,25776.914414414416,16192.692307692309,-9584.222106722107,2012-2014
191,2013,Audi,3.0,32137.28695652174,104088.44827586207,71951.16131934033,37249.565217391304,17601.862068965518,-19647.703148425786,2012-2014
192,2013,Audi,4.0,38636.375,99676.1724137931,61039.7974137931,44281.25,20794.896551724138,-23486.353448275862,2012-2014
193,2013,Hyundai,2.0,23748.180555555555,92803.0,69054.81944444444,18678.819444444445,13255.375,-5423.444444444445,2012-2014
194,2013,Hyundai,3.8,37282.912280701756,62606.2,25323.28771929824,17132.592105263157,15631.8,-1500.7921052631573,2012-2014
195,2013,Nissan,1.6,37634.66974169742,113225.6,75590.93025830259,8892.535055350554,6555.0,-2337.535055350554,2012-2014
196,2013,Nissan,1.8,27522.4375,112405.0,84882.5625,11357.291666666666,5995.0,-5362.291666666666,2012-2014
197,2013,Nissan,2.5,37320.7476180823,108304.71153846153,70983.96392037923,13119.636529495236,8768.576923076924,-4351.059606418312,2012-2014
198,2013,Nissan,3.5,44237.06708407871,101831.52380952382,57594.4567254451,15265.50626118068,10164.0,-5101.506261180681,2012-2014
199,2013,Subaru,2.0,25175.555555555555,119112.97916666667,93937.42361111112,15719.444444444445,10443.583333333334,-5275.861111111111,2012-2014
200,2013,Subaru,2.5,45165.76246334311,118592.97468354431,73427.2122202012,17120.9706744868,10252.949367088608,-6868.021307398194,2012-2014
201,2013,Subaru,3.6,25084.636363636364,104583.9375,79499.30113636363,23700.0,14198.8125,-9501.1875,2012-2014
202,2013,Volkswagen,2.0,25073.15,78984.40909090909,53911.25909090909,15960.0,14394.363636363636,-1565.636363636364,2012-2014
203,2013,Volkswagen,2.5,32973.34600760456,69455.56521739131,36482.21920978675,12221.673003802282,12389.130434782608,167.45743098032654,2012-2014
204,2013,Volvo,3.2,38556.5,106729.0,68172.5,22564.70588235294,12721.125,-9843.58088235294,2012-2014
205,2014,Audi,2.0,13271.509523809524,77964.76315789473,64693.25363408521,31953.571428571428,16896.92105263158,-15056.650375939847,2012-2014
206,2014,Audi,3.0,16947.65306122449,73677.85714285714,56730.204081632655,44275.510204081635,23617.114285714284,-20658.39591836735,2012-2014
207,2014,Hyundai,2.0,11912.125,79132.71428571429,67220.58928571429,24196.875,12286.142857142857,-11910.732142857143,2012-2014
208,2014,Hyundai,3.8,13474.536585365853,72400.0,58925.46341463415,22254.878048780487,14500.0,-7754.878048780487,2012-2014
209,2014,Nissan,1.6,22560.555731225297,134895.0,112334.4442687747,10053.479841897233,6009.8,-4043.679841897233,2012-2014
210,2014,Nissan,2.5,23453.96861924686,91930.24074074074,68476.27212149388,14728.275627615063,9775.25925925926,-4953.016368355804,2012-2014
211,2014,Nissan,3.5,20612.954545454544,87793.78571428571,67180.83116883117,17937.348484848484,12133.857142857143,-5803.491341991341,2012-2014
212,2014,Subaru,2.0,14080.137777777778,85992.14285714286,71912.00507936507,18241.11111111111,15298.028571428571,-2943.0825396825385,2012-2014
213,2014,Subaru,2.5,17046.372350230416,117538.17475728155,100491.80240705113,21472.90322580645,11860.106796116504,-9612.796429689946,2012-2014
214,2014,Subaru,3.6,14618.34375,93006.66666666667,78388.32291666667,28901.5625,16554.666666666668,-12346.895833333332,2012-2014
215,2014,Volkswagen,1.8,12291.57142857143,77353.53846153847,65061.96703296704,15371.42857142857,13853.346153846154,-1518.0824175824164,2012-2014
216,2014,Volkswagen,2.0,5162.0,46036.80459770115,40874.80459770115,17400.0,16575.045977011494,-824.954022988506,2012-2014
217,2014,Volkswagen,2.5,29165.935483870966,68587.0,39421.06451612903,13089.78494623656,10156.7,-2933.0849462365586,2012-2014
218,2014,Volkswagen,3.6,12824.0,49728.0,36904.0,21800.0,19590.0,-2210.0,2012-2014
219,2014,Volvo,3.2,19130.954954954956,99000.5,79869.54504504504,28369.81981981982,14830.25,-13539.569819819819,2012-2014
220,2015,Audi,1.8,8117.87037037037,72920.75,64802.87962962963,23883.333333333332,8999.0,-14884.333333333332,2012-2014
221,2015,Audi,2.0,6485.64406779661,66949.46511627907,60463.82104848246,31383.050847457627,17853.418604651164,-13529.632242806463,2012-2014
222,2015,Audi,3.0,5224.166666666667,60546.72727272727,55322.56060606061,46458.333333333336,25090.272727272728,-21368.060606060608,2012-2014
223,2015,Hyundai,2.0,8820.0,47962.0,39142.0,21550.0,15601.444444444445,-5948.555555555555,2012-2014
224,2015,Hyundai,3.8,5382.939393939394,35741.80357142857,30358.86417748918,33633.333333333336,22017.303571428572,-11616.029761904763,2012-2014
225,2015,Nissan,1.6,7787.285714285715,89696.8,81909.5142857143,9921.638655462184,6026.0,-3895.638655462184,2012-2014
226,2015,Nissan,2.5,10265.457142857143,89035.06837606838,78769.61123321124,14477.32142857143,11108.435897435897,-3368.885531135533,2012-2014
227,2015,Nissan,3.5,6852.75,99992.9,93140.15,22375.0,12272.6,-10102.4,2012-2014
228,2015,Subaru,2.0,12804.666666666666,65959.55555555556,53154.8888888889,29033.333333333332,14843.666666666666,-14189.666666666666,2012-2014
229,2015,Subaru,2.5,10018.760204081633,89943.56880733946,79924.80860325783,23525.76530612245,15618.128440366972,-7907.636865755476,2012-2014
230,2015,Volkswagen,1.8,14217.0,46290.26068376069,32073.260683760687,11550.0,15993.358974358975,4443.358974358975,2012-2014
